,Products_with_common_ingredient,The_common_ingredients
35,"('NIVEA DoShakara Pack - Nourishing Cocoa Body Lotion - 400ml (Pack Of 3) | Jumia Nigeria', 'NIVEA Sun UV Sunscreen Face Shine Control Cream SPF 50 - 50ml | Jumia Nigeria')","{'aqua', 'cetearyl alcohol', 'tocopheryl acetate', 'glycerin'}"
36,"('NIVEA DoShakara Pack - Nourishing Cocoa Body Lotion - 400ml (Pack Of 3) | Jumia Nigeria', 'NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml | Jumia Nigeria')","{'bht', 'cetearyl alcohol', 'glycerin', 'trisodium edta', 'tocopheryl acetate', 'dimethicone', 'carbomer', 'benzyl alcohol', 'phenoxyethanol'}"
37,"('NIVEA DoShakara Pack - Nourishing Cocoa Body Lotion - 400ml (Pack Of 3) | Jumia Nigeria', 'NIVEA Radiant & Beauty Advanced Care Body Lotion For Women - 400ml | Jumia Nigeria')","{'bht', 'cetearyl alcohol', 'aqua', 'glycerin', 'trisodium edta', 'tocopheryl acetate', 'phenoxyethanol', 'glyceryl stearate se', 'isopropyl palmitate'}"
38,"('NIVEA DoShakara Pack - Nourishing Cocoa Body Lotion - 400ml (Pack Of 3) | Jumia Nigeria', 'NIVEA MEN Deep Espresso Deodorant Spray - 200ml (Pack Of 2) | Jumia Nigeria')","{'benzyl alcohol', 'dimethicone', 'isopropyl palmitate'}"
39,"('NIVEA DoShakara Pack - Nourishing Cocoa Body Lotion - 400ml (Pack Of 3) | Jumia Nigeria', 'NIVEA Soft Cream 200ml | Jumia Nigeria')","{'paraffinum liquidum', 'aqua', 'glycerin', 'tocopheryl acetate', 'dimethicone', 'benzyl alcohol', 'phenoxyethanol'}"
40,"('NIVEA DoShakara Pack - Nourishing Cocoa Body Lotion - 400ml (Pack Of 3) | Jumia Nigeria', 'NIVEA Nivea Dry Impact Anti-Perspirant Spray For Men, 72h - 200ml | Jumia Nigeria')","{'dimethicone', 'isopropyl palmitate'}"
41,"('NIVEA DoShakara Pack - Nourishing Cocoa Body Lotion - 400ml (Pack Of 3) | Jumia Nigeria', 'NIVEA Lip Care Shine bundle - Blackberry, Strawberry, Watermelon | Jumia Nigeria')","{'butyrospermum parkii butter', 'bht', 'aqua', 'cetearyl alcohol'}"
42,"('NIVEA DoShakara Pack - Nourishing Cocoa Body Lotion - 400ml (Pack Of 3) | Jumia Nigeria', 'NIVEA Perfect & Radiant EvenTone Day Cream And Face Cleansing Foam For Women -150ml | Jumia Nigeria')","{'bht', 'cetearyl alcohol', 'aqua', 'glycerin', 'trisodium edta', 'tocopheryl acetate', 'benzyl alcohol', 'phenoxyethanol'}"
43,"('NIVEA DoShakara Pack - Nourishing Cocoa Body Lotion - 400ml (Pack Of 3) | Jumia Nigeria', 'NIVEA Watermelon Shine Lip Balm For Women - 4.8g | Jumia Nigeria')","{'butyrospermum parkii butter', 'bht', 'aqua', 'glycerin', 'isopropyl palmitate'}"
44,"('NIVEA DoShakara Pack - Nourishing Cocoa Body Lotion - 400ml (Pack Of 3) | Jumia Nigeria', 'NIVEA Men Crème – All Purpose Cream For Men - 150ml (Pack Of 2) | Jumia Nigeria')","{'glycerin', 'tocopheryl acetate', 'dimethicone', 'carbomer', 'phenoxyethanol'}"
